exporter,product,periodX,periodY,intercept,intercept_p_value,beta,beta_p_value,gamma,r_squared
EE,2,201810,201811,0.00399568,0.481366118,0.919048725,1.30788E-11,-0.080951275,0.925806782
EE,2,201811,201812,-0.007731451,0.315438225,1.133318073,1.36429E-10,0.133318073,0.916424156
EE,2,201812,201901,0.000806573,0.820162118,0.962675841,3.19225E-14,-0.037324159,0.985256763
EE,2,201901,201902,0.005981662,0.204017229,0.915854324,1.34322E-12,-0.084145676,0.967737734
EE,2,201902,201903,-0.003183105,0.663226152,1.046006405,2.92889E-10,0.046006405,0.933991417
EE,2,201903,201904,0.00192291,0.823786558,0.960838057,4.67785E-09,-0.039161943,0.904668138
EE,2,201904,201905,-0.005089634,0.366512321,1.063165372,2.00049E-12,0.063165372,0.965981588
EE,2,201905,201906,0.010741042,0.16235903,0.816793942,1.79262E-09,-0.183206058,0.901697517
EE,2,201906,201907,-0.00421869,0.604014738,1.064390265,6.09781E-10,0.064390265,0.914029419
EE,2,201907,201908,0.006980702,0.197779788,0.884930343,9.39657E-12,-0.115069657,0.958208675
EE,2,201908,201909,-0.005871871,0.430849918,1.088738393,1.63545E-10,0.088738393,0.938907016
EE,2,201909,201910,0.011417319,0.140395468,0.789280314,5.34698E-09,-0.210719686,0.902964186
EE,2,201910,201911,-0.007811875,0.239493205,1.135498116,9.99265E-12,0.135498116,0.93847321
EE,2,201911,201912,0.000909905,0.905660581,0.978994174,5.36062E-10,-0.021005826,0.928476015
EE,2,201912,202001,0.003989156,0.615771479,0.93284036,2.10658E-09,-0.06715964,0.928306188
EE,2,202001,202002,0.00631122,0.480441986,0.898851357,1.97431E-08,-0.101148643,0.901479375
EE,2,202002,202003,-0.002565032,0.627168447,1.005971444,1.72287E-11,0.005971444,0.972120872
EE,2,202003,202004,-0.008055291,0.113865093,1.119471415,5.24503E-13,0.119471415,0.978018492
EE,2,202004,202005,0.00380266,0.459271007,0.959443928,6.22206E-12,-0.040556072,0.976157604
EE,2,202005,202006,0.003956317,0.25043376,0.935273303,5.17365E-14,-0.064726697,0.988579263
EE,2,202006,202007,0.003471385,0.599092504,0.953304249,3.66093E-10,-0.046695751,0.955435809
EE,2,202007,202008,0.000812351,0.920073033,0.981815821,2.48868E-09,-0.018184179,0.926586959
EE,2,202008,202009,-0.000180816,0.967475818,0.992041093,5.56579E-13,-0.007958907,0.977831565
EE,2,202009,202010,-0.003641967,0.431405873,1.054784036,1.38793E-13,0.054784036,0.976150549
EE,2,202010,202011,0.005398718,0.122726224,0.919576449,5.39733E-15,-0.080423551,0.984523568
EE,2,202011,202012,-0.011001114,0.188630381,1.157607217,2.65151E-10,0.157607217,0.946614338
EE,3,200801,200802,0.000217072,0.96399241,0.994513596,5.59381E-14,-0.005486404,0.978868624
EE,3,200802,200803,-0.000497601,0.894147954,1.007968415,3.89839E-15,0.007968415,0.989079588
EE,3,200803,200804,0.000307766,0.933761173,0.993142591,1.44232E-14,-0.006857409,0.990615528
EE,3,200804,200805,0.006565358,0.488403412,0.903202969,6.23913E-09,-0.096797031,0.931180287
EE,3,200805,200806,0.004968964,0.049724109,0.930722652,1.7601E-16,-0.069277348,0.995233978
EE,3,200806,200807,-0.000327203,0.926000452,0.989177146,7.95044E-15,-0.010822854,0.987910119
EE,3,200807,200808,0.002994202,0.667912114,0.944835804,5.81106E-11,-0.055164196,0.935834792
EE,3,200808,200809,0.009794766,0.488343265,0.844340121,5.75752E-06,-0.155659879,0.805131372
EE,3,200809,200810,-0.005964846,0.362985117,1.081116037,5.14507E-11,0.081116037,0.967021896
EE,3,200810,200811,-0.002612658,0.507434445,1.041389795,1.60812E-15,0.041389795,0.982672696
EE,3,200811,200812,-0.004831875,0.241833067,1.075479747,8.68443E-16,0.075479747,0.983955898
EE,3,200812,200901,0.001010434,0.920383093,0.979769185,5.68613E-09,-0.020230815,0.93215128
EE,3,200901,200902,0.001221716,0.896290378,0.973308824,2.1106E-09,-0.026691176,0.941706813
EE,3,200902,200903,-0.002555106,0.36604876,1.034414592,1.81651E-16,0.034414592,0.995210799
EE,3,200903,200904,-5.12305E-05,0.982678942,1.00049404,2.29925E-17,0.00049404,0.996515017
EE,3,200904,200905,0.010149155,0.432507053,0.84961888,2.94295E-07,-0.15038112,0.875991839
EE,3,200905,200906,0.005410462,0.164827491,0.924165924,6.45161E-14,-0.075834076,0.988185048
EE,3,200906,200907,0.000744026,0.856469875,0.988054017,1.80493E-13,-0.011945983,0.986160828
EE,3,200907,200908,-0.001325141,0.924699211,1.001868835,5.89563E-07,0.001868835,0.862146106
EE,3,200908,200909,0.006296428,0.147977271,0.910883367,3.16597E-13,-0.089116633,0.984912438
EE,3,200909,200910,-0.00414526,0.362749798,1.062821417,9.31921E-15,0.062821417,0.978422094
EE,3,200910,200911,0.006292444,0.470154103,0.888324267,1.31099E-09,-0.111675733,0.905446525
EE,3,200911,200912,-0.00274628,0.585247441,1.04218685,4.43191E-13,0.04218685,0.978540437
EE,3,200912,201001,-0.004762159,0.413641595,1.063640305,1.30614E-12,0.063640305,0.974963212
EE,3,201001,201002,0.00397677,0.61340656,0.93913116,2.10671E-10,-0.06086884,0.948334138
EE,3,201002,201003,0.000715892,0.73260015,0.97925674,2.2218E-18,-0.02074326,0.996241795
EE,3,201003,201004,0.002027828,0.846800805,0.904655624,2.06428E-08,-0.095344376,0.883957724
EE,3,201004,201005,0.01109853,0.454873309,0.795766745,1.04772E-05,-0.204233255,0.736494714
EE,3,201005,201006,0.003982991,0.486095503,0.921830038,3.08575E-12,-0.078169962,0.946393467
EE,3,201006,201007,0.009036805,0.244509765,0.832648483,2.85043E-09,-0.167351517,0.880745041
EE,3,201007,201008,0.000832233,0.930096071,0.96360182,3.0064E-08,-0.03639818,0.843014775
EE,3,201008,201009,-0.000328491,0.962172201,1.009637663,7.83532E-11,0.009637663,0.921679576
EE,3,201009,201010,-0.001077586,0.809288055,1.014690726,7.33628E-14,0.014690726,0.972083243
EE,3,201010,201011,0.006202033,0.527703046,0.95445187,2.39872E-08,-0.04554813,0.881629202
EE,3,201011,201012,0.00755866,0.690512731,0.84128128,0.000159961,-0.15871872,0.65060911
EE,3,201012,201101,0.009183519,0.489099608,0.853955742,2.25836E-06,-0.146044258,0.807406615
EE,3,201101,201102,0.000468109,0.936563984,0.984934827,9.07346E-13,-0.015065173,0.935546082
EE,3,201102,201103,0.008708244,0.017866568,0.833547943,1.53264E-15,-0.166452057,0.972795396
EE,3,201103,201104,-0.002929974,0.74936009,1.043453425,6.0481E-09,0.043453425,0.869794172
EE,3,201104,201105,0.004001982,0.591466557,0.948701359,4.65988E-10,-0.051298641,0.916857337
EE,3,201105,201106,0.001785412,0.551062082,0.965711555,8.36949E-17,-0.034288445,0.984409479
EE,3,201106,201107,0.007547692,0.240626907,0.84998531,1.37372E-10,-0.15001469,0.903766485
EE,3,201107,201108,-0.005731121,0.097640545,1.107800736,9.7822E-17,0.107800736,0.979954215
EE,3,201108,201109,0.007038852,0.332243802,0.857425865,1.58117E-09,-0.142574135,0.9032188
EE,3,201109,201110,0.009476371,0.384565967,0.83949131,1.59467E-06,-0.16050869,0.772207434
EE,3,201110,201111,-0.012224388,0.265820493,1.196517787,1.92775E-08,0.196517787,0.867991536
EE,3,201111,201112,0.001595487,0.861480764,0.957862343,2.86512E-09,-0.042137657,0.880673377
EE,3,201112,201201,0.00427927,0.475446626,0.92596884,8.2988E-12,-0.07403116,0.949650379
EE,3,201201,201202,-0.00294022,0.181750147,1.040454642,5.3206E-20,0.040454642,0.993438815
EE,3,201202,201203,0.00597629,0.055067013,0.884420321,3.56585E-17,-0.115579679,0.982078558
EE,3,201203,201204,-0.002938184,0.251471666,1.058513766,3.91934E-19,0.058513766,0.989139065
EE,3,201204,201205,0.002632521,0.862690461,0.913624926,1.00295E-05,-0.086375074,0.67085852
EE,3,201205,201206,0.01095662,0.038035662,0.760969775,3.00195E-12,-0.239030225,0.946566328
EE,3,201206,201207,-0.002299811,0.681149716,1.072019866,1.96083E-12,0.072019866,0.949170334
EE,3,201207,201208,0.014050183,0.38796849,0.688360244,0.000565553,-0.311639756,0.492288567
EE,3,201208,201209,0.008773637,0.527155172,0.818300697,2.05301E-05,-0.181699303,0.644279711
EE,3,201209,201210,-0.000653396,0.887724599,1.003542583,3.30096E-14,0.003542583,0.961759049
EE,3,201210,201211,-0.001315163,0.609132011,1.025343338,1.41377E-19,0.025343338,0.98758927
EE,3,201211,201212,-0.00239031,0.503896408,1.041118391,8.4154E-17,0.041118391,0.980286308
EE,3,201212,201301,0.001970761,0.457244963,0.961492559,8.36767E-19,-0.038507441,0.988184685
EE,3,201301,201302,-0.000159642,0.946029482,1.002480461,9.04559E-20,0.002480461,0.990771098
EE,3,201302,201303,0.003642684,0.480064704,0.927271773,2.72919E-13,-0.072728227,0.951668176
EE,3,201303,201304,-0.001595972,0.628083723,1.028447727,3.73632E-17,0.028447727,0.981985411
EE,3,201304,201305,0.001784466,0.740764786,1.026581623,3.18068E-13,0.026581623,0.958940049
EE,3,201305,201306,0.012858534,0.023417658,0.762904973,1.10256E-11,-0.237095027,0.937759502
EE,3,201306,201307,-0.001868024,0.672518641,1.033199437,3.92285E-14,0.033199437,0.96102007
EE,3,201307,201308,-0.003479425,0.3037778,1.061207759,2.72895E-16,0.061207759,0.982085914
EE,3,201308,201309,0.005800919,0.178332521,0.893258538,9.62692E-14,-0.106741462,0.964315212
EE,3,201309,201310,0.001314831,0.703127903,0.970514512,2.85825E-15,-0.029485488,0.976391185
EE,3,201310,201311,-0.005011964,0.397968644,1.079683672,1.41086E-12,0.079683672,0.932490914
EE,3,201311,201312,-0.001489384,0.706020388,1.034271349,5.25219E-16,0.034271349,0.970540638
EE,3,201312,201401,-0.003795897,0.341391886,1.074538598,8.63693E-16,0.074538598,0.979488355
EE,3,201401,201402,-0.001724377,0.583266713,1.026187988,3.91915E-18,0.026187988,0.985974883
EE,3,201402,201403,0.006525235,0.051240846,0.84418713,3.78591E-17,-0.15581287,0.977656786
EE,3,201403,201404,-0.003219203,0.285627586,1.092140139,1.00073E-18,0.092140139,0.98475228
EE,3,201404,201405,0.009354184,0.353999636,0.809769235,8.60381E-08,-0.190230765,0.804302258
EE,3,201405,201406,0.005299843,0.427177056,0.883536896,1.736E-10,-0.116463104,0.914032886
EE,3,201406,201407,-0.007288344,0.12485841,1.134277974,9.92318E-15,0.134277974,0.966531445
EE,3,201407,201408,0.025690958,0.026946334,0.451337767,0.000533861,-0.548662233,0.476451264
